地区名,センター,燃える,燃えない,ペットボトル,カン,ビン,古紙・古衣類,特殊・硬質
旭町1丁目,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
旭町2丁目,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
旭毛屋町,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
赤尾,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
新町,市民課,月 木,火1 火3 火5,水2 水4,水1 水3 水5,火4,火2,水1
猪野口,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
猪野,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
岩ケ野,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
伊波,市民課,月 木,火1 火3 火5,水2 水4,水1 水3 水5,火4,火2,水1
伊知地,市民課,月 木,火1 火3 火5,水2 水4,水1 水3 水5,火4,火2,水1
牛ケ谷,市民課,火 金,月1 月3 月5,水2 水4,水1 水3 水5,月4,月2,水2
岡横江,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
大渡,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
大矢谷,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
小原,市民課,火 金,月1 月3 月5,水2 水4,水1 水3 水5,月4,月2,水2
大袋,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
上郡,市民課,月 木,金1 金3 金5,水2 水4,水1 水3 水5,金4,金2,水3
上袋田,市民課,月 木,金1 金3 金5,水2 水4,水1 水3 水5,金4,金2,水3
上後,市民課,月 木,金1 金3 金5,水2 水4,水1 水3 水5,金4,金2,水3
上長渕,市民課,月 木,金1 金3 金5,水2 水4,水1 水3 水5,金4,金2,水3
片瀬,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
片瀬町,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
壁倉,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
上森川,市民課,月 木,火1 火3 火5,水2 水4,水1 水3 水5,火4,火2,水1
経塚,市民課,火 金,木1 木3 木5,水2 水4,水1 水3 水5,木4,木2,水4
北六呂師,市民課,火 金,月1 月3 月5,水2 水4,水1 水3 水5,月4,月2,水2
木根橋,市民課,火 金,月1 月3 月5,水2 水4,水1 水3 水5,月4,月2,水2
